HearingID,Date,CourtID,CaseType,Mode,DurationMinutes,Adjourned,TechIssue
HRG-00001,2025-01-01,CT1,Criminal,In-person,48,Y,N
HRG-00002,2025-01-01,CT1,Appeal,In-person,53,N,N
HRG-00003,2025-01-01,CT1,Civil,In-person,25,N,N
HRG-00004,2025-01-01,CT1,Civil,In-person,35,Y,N
HRG-00005,2025-01-01,CT1,Appeal,In-person,61,N,N
HRG-00006,2025-01-01,CT1,Commercial,In-person,64,N,N
HRG-00007,2025-01-01,CT1,Criminal,In-person,41,N,N
HRG-00008,2025-01-01,CT1,Appeal,In-person,45,Y,N
HRG-00009,2025-01-01,CT2,Commercial,In-person,42,Y,N
HRG-00010,2025-01-01,CT2,Appeal,In-person,37,N,N
HRG-00011,2025-01-01,CT2,Criminal,In-person,57,N,N
HRG-00012,2025-01-01,CT2,Civil,In-person,52,N,N
HRG-00013,2025-01-01,CT2,Civil,In-person,43,N,N
HRG-00014,2025-01-01,CT2,Civil,Virtual,47,N,Y
HRG-00015,2025-01-01,CT2,Criminal,In-person,26,Y,N
HRG-00016,2025-01-01,CT2,Criminal,In-person,63,N,N
HRG-00017,2025-01-01,CT2,Commercial,In-person,25,N,N
HRG-00018,2025-01-01,CT2,Civil,In-person,44,N,N
HRG-00019,2025-01-01,CT2,Criminal,In-person,46,N,N
HRG-00020,2025-01-01,CT3,Criminal,In-person,39,N,N
HRG-00021,2025-01-01,CT3,Commercial,In-person,62,N,N
HRG-00022,2025-01-01,CT3,Criminal,In-person,50,Y,N
HRG-00023,2025-01-01,CT3,Family,In-person,52,N,N
HRG-00024,2025-01-01,CT3,Criminal,In-person,26,Y,N
HRG-00025,2025-01-01,CT3,Family,In-person,24,N,N
HRG-00026,2025-01-01,CT3,Commercial,In-person,69,N,N
HRG-00027,2025-01-01,CT3,Criminal,In-person,54,N,N
HRG-00028,2025-01-01,CT3,Commercial,In-person,44,N,N
HRG-00029,2025-01-01,CT3,Civil,In-person,31,Y,N
HRG-00030,2025-01-01,CT3,Family,In-person,54,N,N
HRG-00031,2025-01-02,CT1,Civil,In-person,56,N,N
HRG-00032,2025-01-02,CT1,Criminal,In-person,50,N,N
HRG-00033,2025-01-02,CT1,Civil,In-person,40,Y,N
HRG-00034,2025-01-02,CT1,Commercial,In-person,76,Y,N
HRG-00035,2025-01-02,CT1,Civil,In-person,31,N,N
HRG-00036,2025-01-02,CT1,Family,In-person,47,N,N
HRG-00037,2025-01-02,CT1,Appeal,In-person,40,N,N
HRG-00038,2025-01-02,CT1,Civil,In-person,40,N,N
HRG-00039,2025-01-02,CT1,Commercial,In-person,49,N,N
HRG-00040,2025-01-02,CT1,Commercial,In-person,42,N,N
HRG-00041,2025-01-02,CT1,Appeal,In-person,69,Y,N
HRG-00042,2025-01-02,CT1,Civil,In-person,31,N,N
HRG-00043,2025-01-02,CT2,Commercial,In-person,73,Y,N
HRG-00044,2025-01-02,CT2,Criminal,In-person,49,Y,N
HRG-00045,2025-01-02,CT2,Civil,In-person,51,N,N
HRG-00046,2025-01-02,CT2,Criminal,In-person,54,Y,N
HRG-00047,2025-01-02,CT2,Family,In-person,20,Y,N
HRG-00048,2025-01-02,CT2,Commercial,In-person,59,N,N
HRG-00049,2025-01-02,CT2,Civil,In-person,51,N,N
HRG-00050,2025-01-02,CT3,Family,In-person,63,N,N
HRG-00051,2025-01-02,CT3,Family,In-person,34,N,N
HRG-00052,2025-01-02,CT3,Family,In-person,74,Y,N
HRG-00053,2025-01-02,CT3,Commercial,In-person,32,Y,N
HRG-00054,2025-01-02,CT3,Criminal,In-person,53,N,N
HRG-00055,2025-01-02,CT3,Criminal,In-person,40,N,N
HRG-00056,2025-01-02,CT3,Family,In-person,62,N,N
HRG-00057,2025-01-02,CT3,Family,In-person,22,Y,N
