IssueID,HearingID,Date,CourtID,Category,MinutesLost
TI-00001,HRG-00014,2025-01-01,CT2,Audio,22
TI-00002,HRG-00153,2025-01-07,CT3,Connectivity,14
TI-00003,HRG-00363,2025-01-16,CT1,Video,36
TI-00004,HRG-00512,2025-01-22,CT2,Audio,14
TI-00005,HRG-00805,2025-02-04,CT2,Participant Device,16
TI-00006,HRG-00825,2025-02-05,CT1,Audio,33
TI-00007,HRG-00858,2025-02-06,CT1,Participant Device,21
TI-00008,HRG-00888,2025-02-07,CT1,Connectivity,5
TI-00009,HRG-00931,2025-02-10,CT2,Video,13
TI-00010,HRG-01219,2025-02-21,CT1,Video,29
TI-00011,HRG-01306,2025-02-25,CT2,Connectivity,9
TI-00012,HRG-01528,2025-03-06,CT1,Audio,11
TI-00013,HRG-01530,2025-03-06,CT1,Connectivity,12
TI-00014,HRG-01571,2025-03-07,CT2,Power,8
TI-00015,HRG-01623,2025-03-11,CT1,Connectivity,38
TI-00016,HRG-01684,2025-03-13,CT1,Participant Device,8
TI-00017,HRG-01690,2025-03-13,CT1,Connectivity,25
TI-00018,HRG-01728,2025-03-14,CT1,Connectivity,32
TI-00019,HRG-01795,2025-03-18,CT1,Audio,24
TI-00020,HRG-01833,2025-03-19,CT1,Audio,20
TI-00021,HRG-01908,2025-03-21,CT1,Participant Device,26
TI-00022,HRG-02047,2025-03-27,CT3,Video,40
TI-00023,HRG-02095,2025-03-31,CT1,Video,37
TI-00024,HRG-02151,2025-04-02,CT1,Connectivity,19
TI-00025,HRG-02164,2025-04-02,CT2,Audio,39
TI-00026,HRG-02193,2025-04-03,CT1,Connectivity,40
TI-00027,HRG-02248,2025-04-07,CT1,Video,12
TI-00028,HRG-02249,2025-04-07,CT1,Participant Device,24
TI-00029,HRG-02266,2025-04-07,CT2,Video,17
TI-00030,HRG-02269,2025-04-07,CT2,Power,23
TI-00031,HRG-02318,2025-04-09,CT1,Audio,9
TI-00032,HRG-02321,2025-04-09,CT1,Participant Device,15
TI-00033,HRG-02379,2025-04-11,CT1,Participant Device,31
TI-00034,HRG-02382,2025-04-11,CT1,Participant Device,14
TI-00035,HRG-02392,2025-04-11,CT1,Connectivity,8
TI-00036,HRG-02425,2025-04-14,CT1,Video,18
TI-00037,HRG-02455,2025-04-15,CT2,Connectivity,14
TI-00038,HRG-02577,2025-04-18,CT3,Video,25
TI-00039,HRG-02619,2025-04-22,CT1,Audio,14
TI-00040,HRG-02663,2025-04-23,CT2,Audio,3
TI-00041,HRG-02757,2025-04-28,CT1,Audio,28
TI-00042,HRG-02761,2025-04-28,CT1,Power,3
TI-00043,HRG-02783,2025-04-29,CT1,Participant Device,5
TI-00044,HRG-02801,2025-04-29,CT2,Video,4
TI-00045,HRG-02961,2025-05-06,CT1,Participant Device,19
TI-00046,HRG-03051,2025-05-09,CT1,Connectivity,10
TI-00047,HRG-03059,2025-05-09,CT1,Audio,11
TI-00048,HRG-03086,2025-05-12,CT1,Participant Device,18
TI-00049,HRG-03154,2025-05-14,CT1,Video,30
TI-00050,HRG-03155,2025-05-14,CT1,Connectivity,37
TI-00051,HRG-03165,2025-05-14,CT1,Audio,29
TI-00052,HRG-03195,2025-05-15,CT1,Audio,15
TI-00053,HRG-03208,2025-05-15,CT2,Participant Device,10
TI-00054,HRG-03211,2025-05-15,CT3,Audio,11
TI-00055,HRG-03219,2025-05-16,CT1,Connectivity,7
TI-00056,HRG-03227,2025-05-16,CT1,Participant Device,18
TI-00057,HRG-03229,2025-05-16,CT1,Connectivity,35
TI-00058,HRG-03233,2025-05-16,CT2,Participant Device,22
TI-00059,HRG-03235,2025-05-16,CT2,Participant Device,23
TI-00060,HRG-03239,2025-05-16,CT2,Audio,6
TI-00061,HRG-03286,2025-05-20,CT1,Video,24
TI-00062,HRG-03317,2025-05-21,CT1,Audio,32
TI-00063,HRG-03358,2025-05-22,CT2,Power,37
TI-00064,HRG-03428,2025-05-26,CT2,Connectivity,21
TI-00065,HRG-03451,2025-05-27,CT1,Connectivity,3
TI-00066,HRG-03457,2025-05-27,CT2,Participant Device,37
TI-00067,HRG-03576,2025-06-02,CT1,Connectivity,3
TI-00068,HRG-03586,2025-06-02,CT2,Participant Device,27
TI-00069,HRG-03604,2025-06-03,CT1,Connectivity,26
TI-00070,HRG-03638,2025-06-04,CT1,Connectivity,31
TI-00071,HRG-03698,2025-06-05,CT3,Audio,19
TI-00072,HRG-03719,2025-06-06,CT2,Connectivity,20
TI-00073,HRG-03732,2025-06-06,CT3,Participant Device,33
TI-00074,HRG-03748,2025-06-09,CT1,Connectivity,38
TI-00075,HRG-03759,2025-06-09,CT2,Participant Device,29
TI-00076,HRG-03792,2025-06-10,CT3,Connectivity,10
TI-00077,HRG-03807,2025-06-11,CT1,Audio,22
TI-00078,HRG-03826,2025-06-11,CT3,Audio,18
TI-00079,HRG-03833,2025-06-11,CT3,Participant Device,4
TI-00080,HRG-03865,2025-06-12,CT3,Power,4
TI-00081,HRG-03876,2025-06-13,CT1,Connectivity,4
TI-00082,HRG-03888,2025-06-13,CT3,Participant Device,26
TI-00083,HRG-03908,2025-06-16,CT1,Connectivity,16
TI-00084,HRG-03921,2025-06-16,CT2,Audio,33
TI-00085,HRG-04059,2025-06-20,CT3,Audio,20
TI-00086,HRG-04071,2025-06-23,CT1,Video,5
TI-00087,HRG-04076,2025-06-23,CT1,Connectivity,17
TI-00088,HRG-04088,2025-06-23,CT2,Connectivity,7
TI-00089,HRG-04108,2025-06-24,CT1,Video,37
TI-00090,HRG-04111,2025-06-24,CT1,Audio,14
TI-00091,HRG-04121,2025-06-24,CT1,Participant Device,24
TI-00092,HRG-04161,2025-06-25,CT3,Connectivity,11
TI-00093,HRG-04190,2025-06-26,CT2,Connectivity,39
TI-00094,HRG-04209,2025-06-27,CT1,Connectivity,12
TI-00095,HRG-04273,2025-07-01,CT1,Participant Device,10
TI-00096,HRG-04281,2025-07-01,CT1,Participant Device,13
TI-00097,HRG-04306,2025-07-02,CT1,Participant Device,30
TI-00098,HRG-04330,2025-07-03,CT1,Participant Device,28
TI-00099,HRG-04411,2025-07-07,CT2,Video,5
TI-00100,HRG-04425,2025-07-07,CT3,Audio,9
TI-00101,HRG-04434,2025-07-08,CT1,Video,16
TI-00102,HRG-04445,2025-07-08,CT2,Audio,4
TI-00103,HRG-04456,2025-07-08,CT3,Video,26
TI-00104,HRG-04483,2025-07-09,CT3,Power,11
TI-00105,HRG-04485,2025-07-09,CT3,Connectivity,7
TI-00106,HRG-04493,2025-07-10,CT1,Video,4
TI-00107,HRG-04503,2025-07-10,CT2,Participant Device,28
TI-00108,HRG-04525,2025-07-11,CT1,Audio,9
TI-00109,HRG-04532,2025-07-11,CT1,Audio,14
TI-00110,HRG-04574,2025-07-14,CT2,Connectivity,36
TI-00111,HRG-04575,2025-07-14,CT2,Audio,27
TI-00112,HRG-04585,2025-07-14,CT3,Connectivity,9
TI-00113,HRG-04598,2025-07-15,CT1,Participant Device,40
TI-00114,HRG-04632,2025-07-16,CT1,Participant Device,36
TI-00115,HRG-04649,2025-07-16,CT3,Audio,5
TI-00116,HRG-04688,2025-07-17,CT3,Video,10
