ShipmentID,ShipDate,DeliveredDate,RouteID,Carrier,WeightKg,PromisedDays,ActualDays,OnTime,FreightCostNGN
SHP-2025-00001,2025-01-01,2025-01-02,R06,Fleet B,2966,1,1,Y,191127
SHP-2025-00002,2025-01-01,2025-01-03,R04,Fleet B,2588,2,2,Y,925557
SHP-2025-00003,2025-01-01,2025-01-03,R01,Fleet A,1615,2,2,Y,675148
SHP-2025-00004,2025-01-01,2025-01-03,R01,Fleet A,3108,2,2,Y,1412492
SHP-2025-00005,2025-01-01,2025-01-03,R02,Fleet A,2726,2,2,Y,996174
SHP-2025-00006,2025-01-01,2025-01-03,R10,Fleet A,1814,2,2,Y,600760
SHP-2025-00007,2025-01-01,2025-01-03,R10,Fleet A,50,2,2,Y,31975
SHP-2025-00008,2025-01-01,2025-01-03,R02,Partner Haulage,2504,2,2,Y,892984
SHP-2025-00009,2025-01-01,2025-01-03,R02,Fleet A,2106,2,2,Y,802655
SHP-2025-00010,2025-01-02,2025-01-03,R06,Fleet A,2495,1,1,Y,161795
SHP-2025-00011,2025-01-02,2025-01-03,R08,Fleet B,1451,1,1,Y,351911
SHP-2025-00012,2025-01-02,2025-01-03,R06,Partner Haulage,2052,1,1,Y,143237
SHP-2025-00013,2025-01-02,2025-01-04,R01,Fleet A,2070,2,2,Y,895388
SHP-2025-00014,2025-01-02,2025-01-03,R06,Partner Haulage,1466,1,1,Y,104275
SHP-2025-00015,2025-01-02,2025-01-03,R05,Fleet B,674,1,1,Y,194228
SHP-2025-00016,2025-01-02,2025-01-03,R05,Fleet A,2979,1,1,Y,819810
SHP-2025-00017,2025-01-03,2025-01-04,R03,Fleet A,2375,1,1,Y,228798
SHP-2025-00018,2025-01-03,2025-01-04,R07,Partner Haulage,993,1,1,Y,172650
SHP-2025-00019,2025-01-03,2025-01-04,R05,Fleet A,1978,1,1,Y,510044
SHP-2025-00020,2025-01-03,2025-01-05,R01,Partner Haulage,1620,2,2,Y,672840
SHP-2025-00021,2025-01-03,2025-01-04,R06,Fleet A,1495,1,1,Y,92347
SHP-2025-00022,2025-01-03,2025-01-04,R06,Fleet A,552,1,1,Y,48855
SHP-2025-00023,2025-01-03,2025-01-09,R09,Fleet B,1662,3,6,N,943412
SHP-2025-00024,2025-01-03,2025-01-04,R06,Fleet A,2717,1,1,Y,158155
SHP-2025-00025,2025-01-03,2025-01-05,R01,Fleet A,3450,2,2,Y,1357125
SHP-2025-00026,2025-01-06,2025-01-07,R06,Fleet A,1344,1,1,Y,84563
SHP-2025-00027,2025-01-06,2025-01-07,R03,Fleet A,1085,1,1,Y,108358
SHP-2025-00028,2025-01-06,2025-01-07,R06,Fleet A,1315,1,1,Y,79958
SHP-2025-00029,2025-01-06,2025-01-07,R07,Fleet A,1425,1,1,Y,232375
SHP-2025-00030,2025-01-06,2025-01-07,R08,Fleet A,1009,1,1,Y,245215
SHP-2025-00031,2025-01-06,2025-01-07,R08,Fleet A,2588,1,1,Y,562658
SHP-2025-00032,2025-01-06,2025-01-08,R01,Fleet A,1425,2,2,Y,582410
SHP-2025-00033,2025-01-06,2025-01-07,R07,Fleet A,2231,1,1,Y,374170
SHP-2025-00034,2025-01-06,2025-01-07,R07,Fleet B,847,1,1,Y,143044
SHP-2025-00035,2025-01-06,2025-01-08,R02,Partner Haulage,1157,2,2,Y,444656
SHP-2025-00036,2025-01-06,2025-01-07,R03,Fleet A,1298,1,1,Y,117194
SHP-2025-00037,2025-01-06,2025-01-07,R03,Fleet A,1599,1,1,Y,146013
SHP-2025-00038,2025-01-06,2025-01-07,R06,Fleet A,1897,1,1,Y,106414
SHP-2025-00039,2025-01-07,2025-01-10,R07,Fleet A,1578,1,3,N,231488
SHP-2025-00040,2025-01-07,2025-01-09,R04,Fleet A,1556,2,2,Y,572299
SHP-2025-00041,2025-01-07,2025-01-08,R07,Fleet A,834,1,1,Y,132107
SHP-2025-00042,2025-01-07,2025-01-08,R05,Partner Haulage,1692,1,1,Y,476153
SHP-2025-00043,2025-01-07,2025-01-08,R06,Fleet B,1696,1,1,Y,115593
SHP-2025-00044,2025-01-07,2025-01-08,R03,Partner Haulage,2446,1,1,Y,249379
SHP-2025-00045,2025-01-07,2025-01-10,R09,Fleet B,1931,3,3,Y,1106734
SHP-2025-00046,2025-01-07,2025-01-08,R06,Fleet A,2878,1,1,Y,160100
SHP-2025-00047,2025-01-08,2025-01-10,R04,Fleet A,2488,2,2,Y,898789
SHP-2025-00048,2025-01-08,2025-01-10,R02,Fleet A,396,2,2,Y,155776
SHP-2025-00049,2025-01-08,2025-01-10,R04,Fleet A,1386,2,2,Y,475775
SHP-2025-00050,2025-01-08,2025-01-10,R01,Fleet A,1648,2,2,Y,718637
SHP-2025-00051,2025-01-08,2025-01-09,R05,Fleet A,1131,1,1,Y,331692
SHP-2025-00052,2025-01-08,2025-01-09,R07,Fleet A,2526,1,1,Y,385936
SHP-2025-00053,2025-01-08,2025-01-09,R07,Fleet A,2059,1,1,Y,320709
SHP-2025-00054,2025-01-08,2025-01-10,R10,Fleet A,1336,2,2,Y,503818
SHP-2025-00055,2025-01-08,2025-01-09,R03,Fleet A,1521,1,1,Y,136681
SHP-2025-00056,2025-01-08,2025-01-10,R01,Fleet A,1314,2,2,Y,578304
SHP-2025-00057,2025-01-08,2025-01-10,R01,Fleet A,1584,2,2,Y,658042
SHP-2025-00058,2025-01-09,2025-01-10,R03,Fleet A,1836,1,1,Y,154591
SHP-2025-00059,2025-01-09,2025-01-11,R07,Partner Haulage,2041,1,2,N,319576
SHP-2025-00060,2025-01-09,2025-01-12,R01,Fleet A,3773,2,3,N,1661651
SHP-2025-00061,2025-01-09,2025-01-11,R01,Fleet B,1689,2,2,Y,751937
SHP-2025-00062,2025-01-09,2025-01-10,R03,Fleet B,397,1,1,Y,47015
SHP-2025-00063,2025-01-09,2025-01-12,R06,Fleet B,2194,1,3,N,142273
SHP-2025-00064,2025-01-09,2025-01-10,R06,Partner Haulage,1290,1,1,Y,90483
SHP-2025-00065,2025-01-10,2025-01-11,R08,Fleet B,88,1,1,Y,34298
SHP-2025-00066,2025-01-10,2025-01-12,R01,Partner Haulage,1399,2,2,Y,571010
SHP-2025-00067,2025-01-10,2025-01-11,R05,Fleet A,774,1,1,Y,220774
SHP-2025-00068,2025-01-10,2025-01-12,R10,Fleet A,2192,2,2,Y,665852
SHP-2025-00069,2025-01-10,2025-01-12,R10,Fleet B,1854,2,2,Y,622784
SHP-2025-00070,2025-01-10,2025-01-12,R10,Fleet A,2330,2,2,Y,767101
SHP-2025-00071,2025-01-10,2025-01-11,R08,Fleet B,2547,1,1,Y,506015
SHP-2025-00072,2025-01-10,2025-01-11,R03,Fleet A,3159,1,1,Y,290671
SHP-2025-00073,2025-01-10,2025-01-12,R04,Fleet B,2865,2,2,Y,1150637
SHP-2025-00074,2025-01-10,2025-01-11,R07,Fleet A,1293,1,1,Y,202785
SHP-2025-00075,2025-01-10,2025-01-11,R03,Partner Haulage,1294,1,1,Y,134940
