Date,SiteID,UptimeMinutes,DowntimeMinutes,AvgUtilisationMbps,PeakUtilisationMbps
2025-01-01,S1,1440,0,379.4,735.6
2025-01-01,S2,1440,0,154.8,285.6
2025-01-01,S3,1440,0,99.6,196
2025-01-01,S4,1440,0,52.1,79.1
2025-01-01,S5,1440,0,108.4,200.2
2025-01-01,S6,1238,202,54.1,98.8
2025-01-02,S1,1440,0,256,304.2
2025-01-02,S2,1440,0,162,265.7
2025-01-02,S3,1440,0,130.6,209.9
2025-01-02,S4,1440,0,105.6,150.9
2025-01-02,S5,1440,0,72.8,135.9
2025-01-02,S6,1440,0,46.9,82
2025-01-03,S1,1440,0,426.3,782.9
2025-01-03,S2,1440,0,190.6,357.9
2025-01-03,S3,1440,0,93.9,159.7
2025-01-03,S4,1440,0,89.1,174.3
2025-01-03,S5,1440,0,106,170
2025-01-03,S6,1440,0,38.9,78.7
2025-01-04,S1,1440,0,209,353.8
2025-01-04,S2,1440,0,40,80
2025-01-04,S3,1440,0,36,58.2
2025-01-04,S4,1440,0,66.4,118.1
2025-01-04,S5,1440,0,38.8,60.2
2025-01-04,S6,1355,85,21.1,34
2025-01-05,S1,1440,0,80,115.8
2025-01-05,S2,1440,0,57,103.9
2025-01-05,S3,1440,0,33.1,61.9
2025-01-05,S4,1440,0,19.2,32.6
2025-01-05,S5,1440,0,21,39.3
2025-01-05,S6,1440,0,12,22.4
2025-01-06,S1,1440,0,514,938.1
2025-01-06,S2,1440,0,215.4,391.6
2025-01-06,S3,1440,0,135.5,283.6
2025-01-06,S4,1440,0,96.1,160.5
2025-01-06,S5,1440,0,102.8,177.3
2025-01-06,S6,1440,0,58.2,98.6
2025-01-07,S1,1440,0,323.3,622.6
2025-01-07,S2,1440,0,273.1,459.5
2025-01-07,S3,1440,0,131.7,226.1
2025-01-07,S4,1440,0,80.3,141
2025-01-07,S5,1440,0,67.3,149.4
2025-01-07,S6,1440,0,64.5,125.3
2025-01-08,S1,1440,0,387.8,733.8
2025-01-08,S2,1440,0,150.5,278.2
2025-01-08,S3,1440,0,118.1,204.9
2025-01-08,S4,1440,0,99.9,200
2025-01-08,S5,1440,0,88.3,136.2
2025-01-08,S6,1440,0,49.1,85.6
2025-01-09,S1,1440,0,190.6,350.3
2025-01-09,S2,1440,0,214.4,425.2
2025-01-09,S3,1440,0,105.5,165.9
2025-01-09,S4,1440,0,81.8,116.7
2025-01-09,S5,1440,0,102.4,188.6
2025-01-09,S6,1440,0,48.3,90.7
2025-01-10,S1,1440,0,390.1,665.7
2025-01-10,S2,1440,0,194.4,356.6
2025-01-10,S3,1440,0,95.8,187.2
2025-01-10,S4,1440,0,90.7,161.7
2025-01-10,S5,1440,0,80.2,120.1
2025-01-10,S6,1440,0,58.2,104.2
2025-01-11,S1,1440,0,240.2,514.7
2025-01-11,S2,1440,0,119.5,207.3
2025-01-11,S3,1440,0,25.5,47.1
2025-01-11,S4,1440,0,21,35.3
2025-01-11,S5,1440,0,51.6,89.6
2025-01-11,S6,1440,0,17,31.3
2025-01-12,S1,1440,0,126.4,230.9
2025-01-12,S2,1440,0,150.9,270
2025-01-12,S3,1440,0,53.8,110.1
2025-01-12,S4,1440,0,18.6,29.3
2025-01-12,S5,1440,0,40.3,70.5
2025-01-12,S6,1440,0,12,19.7
2025-01-13,S1,1440,0,356.2,752.2
2025-01-13,S2,1440,0,194.8,393.5
2025-01-13,S3,1440,0,93,176.1
2025-01-13,S4,1440,0,73,134.7
2025-01-13,S5,1440,0,85.9,168.1
2025-01-13,S6,1319,121,54.4,99.8
2025-01-14,S1,1440,0,408.7,828.9
2025-01-14,S2,1440,0,248.7,390.6
2025-01-14,S3,1440,0,104.8,183.3
2025-01-14,S4,1440,0,75.6,149.8
2025-01-14,S5,1440,0,78.2,128.4
2025-01-14,S6,1440,0,62,113.5
2025-01-15,S1,1440,0,284.1,481.2
2025-01-15,S2,1440,0,249.7,429.6
2025-01-15,S3,1440,0,100.2,154.1
2025-01-15,S4,1440,0,79.5,145.7
2025-01-15,S5,1440,0,96.8,151
2025-01-15,S6,1440,0,71.1,120.7
2025-01-16,S1,1440,0,483.5,1000
2025-01-16,S2,1440,0,167.5,312.5
2025-01-16,S3,1440,0,126,176.9
2025-01-16,S4,1440,0,82.3,160.2
2025-01-16,S5,1440,0,88.2,148.6
2025-01-16,S6,1440,0,40.9,68
2025-01-17,S1,1440,0,405.7,733.5
2025-01-17,S2,1440,0,227.3,435.2
2025-01-17,S3,1440,0,144.8,211.9
2025-01-17,S4,1440,0,64.4,122.7
2025-01-17,S5,1440,0,90.6,152.9
2025-01-17,S6,1440,0,68.1,146.8
2025-01-18,S1,1440,0,297.2,677.4
2025-01-18,S2,1440,0,95.5,157
2025-01-18,S3,1440,0,42.8,73.3
2025-01-18,S4,1440,0,33.8,50.7
2025-01-18,S5,1440,0,39.4,69.5
2025-01-18,S6,1396,44,15.2,28.1
2025-01-19,S1,1440,0,234.6,419.2
2025-01-19,S2,1440,0,40,87
2025-01-19,S3,1440,0,24,49.6
2025-01-19,S4,1440,0,56.2,116.2
2025-01-19,S5,1440,0,32.9,64.3
2025-01-19,S6,1440,0,39.2,73.5
2025-01-20,S1,1440,0,352.6,608.2
2025-01-20,S2,1440,0,235.8,418.5
2025-01-20,S3,1440,0,110.5,247.6
2025-01-20,S4,1440,0,81.3,143.8
2025-01-20,S5,1440,0,64.9,104.5
2025-01-20,S6,1440,0,57.3,99.3
2025-01-21,S1,1440,0,483.2,992.6
2025-01-21,S2,1440,0,184.2,344.2
2025-01-21,S3,1440,0,132.6,253.6
2025-01-21,S4,1440,0,95.2,162.5
2025-01-21,S5,1440,0,89.3,152.7
2025-01-21,S6,1440,0,65.3,125.4
2025-01-22,S1,1440,0,306.1,502.7
2025-01-22,S2,1440,0,136.9,221.4
2025-01-22,S3,1440,0,89,165.8
2025-01-22,S4,1440,0,102.5,197.5
2025-01-22,S5,1440,0,55.3,106.1
2025-01-22,S6,1440,0,71.7,135.7
2025-01-23,S1,1440,0,392.4,752.7
2025-01-23,S2,1440,0,155.6,322.8
2025-01-23,S3,1440,0,134.9,251.3
2025-01-23,S4,1440,0,115.6,147.7
2025-01-23,S5,1440,0,72.2,141.3
2025-01-23,S6,1293,147,72,109.1
2025-01-24,S1,1440,0,238.7,391.4
2025-01-24,S2,1440,0,230.4,424.8
2025-01-24,S3,1440,0,84.9,170.1
2025-01-24,S4,1440,0,64.8,110.4
2025-01-24,S5,1440,0,77.8,123.5
2025-01-24,S6,1440,0,42.7,91.3
2025-01-25,S1,1440,0,80,157.7
2025-01-25,S2,1440,0,40,69.3
2025-01-25,S3,1440,0,80.5,138.4
2025-01-25,S4,1440,0,41,69.6
2025-01-25,S5,1440,0,47.8,77.7
2025-01-25,S6,1440,0,18.8,24.4
2025-01-26,S1,1440,0,233,390.8
2025-01-26,S2,1440,0,74.2,120.6
2025-01-26,S3,1440,0,76.3,116.4
2025-01-26,S4,1440,0,41.1,73.3
2025-01-26,S5,1440,0,32.4,61.6
2025-01-26,S6,1440,0,31.7,55.1
2025-01-27,S1,1440,0,342.8,659.4
2025-01-27,S2,1440,0,198.4,362.8
2025-01-27,S3,1440,0,144.4,266.1
2025-01-27,S4,1440,0,87.6,146.1
2025-01-27,S5,1440,0,112.5,220
2025-01-27,S6,1440,0,38.2,67.8
2025-01-28,S1,1440,0,290.4,550.4
2025-01-28,S2,1440,0,163.6,327.3
2025-01-28,S3,1440,0,88.5,181.5
2025-01-28,S4,1440,0,72.9,146.2
2025-01-28,S5,1440,0,112.4,205.2
2025-01-28,S6,1409,31,66.2,135.9
2025-01-29,S1,1440,0,400,681.5
2025-01-29,S2,1440,0,188.9,363.7
2025-01-29,S3,1440,0,105.1,172
2025-01-29,S4,1440,0,93.5,188.8
2025-01-29,S5,1440,0,88.9,171.7
2025-01-29,S6,1440,0,67.8,115.9
2025-01-30,S1,1440,0,323.3,622.7
2025-01-30,S2,1440,0,217.4,327
2025-01-30,S3,1440,0,151.5,253.5
2025-01-30,S4,1440,0,88.3,156.6
2025-01-30,S5,1440,0,51.8,99.2
2025-01-30,S6,1440,0,70.6,150
2025-01-31,S1,1440,0,333.9,604.8
2025-01-31,S2,1440,0,197.4,399.8
2025-01-31,S3,1440,0,103.8,227.7
2025-01-31,S4,1295,145,95.3,198.6
2025-01-31,S5,1440,0,80.9,161.1
2025-01-31,S6,1328,112,60.7,114.3
2025-02-01,S1,1440,0,80,140.7
2025-02-01,S2,1440,0,88.3,132.6
2025-02-01,S3,1440,0,49.2,90.6
2025-02-01,S4,1440,0,31.3,68.1
2025-02-01,S5,1440,0,50.6,97.8
2025-02-01,S6,1440,0,40.2,70.6
2025-02-02,S1,1440,0,163.5,347.7
2025-02-02,S2,1440,0,98.6,188.5
2025-02-02,S3,1440,0,65.3,108.6
2025-02-02,S4,1440,0,56.4,100.6
2025-02-02,S5,1440,0,44.2,85.3
2025-02-02,S6,1440,0,16.9,29
2025-02-03,S1,1440,0,579.2,1000
2025-02-03,S2,1440,0,210.3,364
2025-02-03,S3,1440,0,135,251
2025-02-03,S4,1440,0,88.1,151.2
2025-02-03,S5,1440,0,65.7,106.6
2025-02-03,S6,1440,0,46.1,97.9
2025-02-04,S1,1440,0,366.1,630.1
2025-02-04,S2,1440,0,227.7,403.7
2025-02-04,S3,1440,0,111.2,190.4
2025-02-04,S4,1440,0,81.8,158.5
2025-02-04,S5,1440,0,93.2,154
2025-02-04,S6,1440,0,61.5,115
2025-02-05,S1,1440,0,349.1,691.5
2025-02-05,S2,1440,0,209,305.8
2025-02-05,S3,1440,0,142.7,268
2025-02-05,S4,1440,0,88.6,173.5
2025-02-05,S5,1440,0,78,148
2025-02-05,S6,1440,0,62.9,120
2025-02-06,S1,1440,0,328.8,648.9
2025-02-06,S2,1440,0,191.4,390.7
2025-02-06,S3,1440,0,128.6,232.1
2025-02-06,S4,1440,0,106.2,199.4
2025-02-06,S5,1440,0,115.6,201
2025-02-06,S6,1440,0,50.9,114.2
2025-02-07,S1,1440,0,307.8,517.2
2025-02-07,S2,1440,0,122.6,223.3
2025-02-07,S3,1440,0,89.8,151.1
2025-02-07,S4,1440,0,109.2,199
2025-02-07,S5,1440,0,115,183.5
2025-02-07,S6,1440,0,64.6,108.6
2025-02-08,S1,1440,0,124.6,224.7
2025-02-08,S2,1440,0,102.4,164.5
2025-02-08,S3,1440,0,73.6,144.8
2025-02-08,S4,1440,0,49.2,83.5
2025-02-08,S5,1440,0,29.3,48.7
2025-02-08,S6,1440,0,23.1,55.5
2025-02-09,S1,1440,0,211,346.4
2025-02-09,S2,1440,0,58.3,106.2
2025-02-09,S3,1403,37,74,146.4
2025-02-09,S4,1440,0,38.9,73.2
2025-02-09,S5,1440,0,46.7,80.8
2025-02-09,S6,1440,0,19.8,39.8
2025-02-10,S1,1440,0,566.9,822.8
2025-02-10,S2,1440,0,198.6,324.8
2025-02-10,S3,1440,0,123.1,233.8
2025-02-10,S4,1391,49,72.3,134.6
2025-02-10,S5,1440,0,74.6,95.9
2025-02-10,S6,1440,0,70.6,128.1
2025-02-11,S1,1440,0,320.2,606.1
2025-02-11,S2,1440,0,151.6,265.1
2025-02-11,S3,1440,0,97.9,193.9
2025-02-11,S4,1331,109,73.5,156
2025-02-11,S5,1440,0,94.8,188.7
2025-02-11,S6,1440,0,58.9,105.6
2025-02-12,S1,1440,0,448.2,796.7
2025-02-12,S2,1440,0,223.2,326.8
2025-02-12,S3,1440,0,148.6,226.7
2025-02-12,S4,1440,0,91.7,187.9
2025-02-12,S5,1440,0,87,139.4
2025-02-12,S6,1285,155,75.2,117.2
2025-02-13,S1,1440,0,393.1,722.2
2025-02-13,S2,1440,0,124.5,188.6
2025-02-13,S3,1440,0,141.1,232.8
2025-02-13,S4,1440,0,90.3,168.9
2025-02-13,S5,1440,0,88,183.5
2025-02-13,S6,1440,0,55.5,86.2
2025-02-14,S1,1440,0,433.4,764.6
2025-02-14,S2,1440,0,266.7,480.4
2025-02-14,S3,1440,0,134.2,229
2025-02-14,S4,1440,0,88.9,192.7
2025-02-14,S5,1440,0,76.1,144.6
2025-02-14,S6,1440,0,63.6,95.9
2025-02-15,S1,1440,0,264.1,454.7
2025-02-15,S2,1440,0,118.8,213.7
2025-02-15,S3,1440,0,24,43.5
2025-02-15,S4,1440,0,16,24.8
2025-02-15,S5,1440,0,54.9,109.4
2025-02-15,S6,1440,0,54.9,79.5
2025-02-16,S1,1440,0,125.8,223.1
2025-02-16,S2,1440,0,95.2,169
2025-02-16,S3,1440,0,32.5,40.5
2025-02-16,S4,1440,0,41.7,75.5
2025-02-16,S5,1440,0,39.3,67.5
2025-02-16,S6,1440,0,28.6,51.4
2025-02-17,S1,1440,0,474,837.7
2025-02-17,S2,1440,0,169.5,280.9
2025-02-17,S3,1440,0,154.2,290.8
2025-02-17,S4,1440,0,88.8,142.8
2025-02-17,S5,1440,0,84.8,159.4
2025-02-17,S6,1440,0,65.8,123.2
2025-02-18,S1,1440,0,320.7,595.6
2025-02-18,S2,1440,0,160.5,291
2025-02-18,S3,1440,0,107.1,178.9
2025-02-18,S4,1440,0,94.8,175.4
2025-02-18,S5,1440,0,78.9,111.9
2025-02-18,S6,1440,0,58.7,115
2025-02-19,S1,1440,0,500.4,943.3
2025-02-19,S2,1440,0,229.9,431.1
2025-02-19,S3,1440,0,137.4,240
