IncidentID,SiteID,Opened,Resolved,Severity,Category,ResolutionMinutes
INC-00001,S6,2025-01-01 20:20,2025-01-01 23:42,P1,Power,202
INC-00002,S5,2025-01-03 04:59,2025-01-03 06:29,P3,Link / ISP,90
INC-00003,S6,2025-01-04 13:02,2025-01-04 14:27,P2,Hardware,85
INC-00004,S6,2025-01-13 12:18,2025-01-13 14:19,P2,Power,121
INC-00005,S6,2025-01-18 06:56,2025-01-18 07:40,P3,Weather,44
INC-00006,S6,2025-01-23 05:33,2025-01-23 08:00,P2,Hardware,147
INC-00007,S1,2025-01-26 09:38,2025-01-26 10:34,P3,Hardware,56
INC-00008,S6,2025-01-28 18:33,2025-01-28 19:04,P3,Configuration,31
INC-00009,S4,2025-01-31 00:56,2025-01-31 03:21,P2,Weather,145
INC-00010,S6,2025-01-31 07:27,2025-01-31 09:19,P2,Power,112
INC-00011,S3,2025-02-09 18:47,2025-02-09 19:24,P3,Link / ISP,37
INC-00012,S4,2025-02-10 19:03,2025-02-10 19:52,P3,Weather,49
INC-00013,S4,2025-02-11 13:11,2025-02-11 15:00,P2,Link / ISP,109
INC-00014,S6,2025-02-12 19:39,2025-02-12 22:14,P2,Power,155
INC-00015,S6,2025-02-19 18:59,2025-02-19 21:24,P2,Link / ISP,145
INC-00016,S4,2025-02-21 01:21,2025-02-21 05:02,P1,Link / ISP,221
INC-00017,S5,2025-02-23 04:27,2025-02-23 05:50,P3,Link / ISP,83
INC-00018,S5,2025-02-24 19:43,2025-02-24 21:21,P2,Link / ISP,98
INC-00019,S6,2025-03-03 13:30,2025-03-03 18:25,P1,Link / ISP,295
INC-00020,S2,2025-03-14 15:33,2025-03-14 17:02,P3,Hardware,89
INC-00021,S6,2025-03-14 10:20,2025-03-14 11:33,P3,Hardware,73
INC-00022,S6,2025-03-28 19:49,2025-03-28 21:49,P2,Power,120
INC-00023,S5,2025-03-30 10:02,2025-03-30 11:14,P2,Power,72
INC-00024,S6,2025-04-03 17:04,2025-04-03 17:45,P3,Power,41
INC-00025,S4,2025-04-09 01:30,2025-04-09 03:51,P2,Weather,141
INC-00026,S6,2025-04-10 02:19,2025-04-10 03:25,P2,Power,66
INC-00027,S4,2025-04-11 16:08,2025-04-11 16:58,P3,Power,50
INC-00028,S5,2025-04-11 14:17,2025-04-11 14:46,P3,Link / ISP,29
INC-00029,S6,2025-04-16 12:00,2025-04-16 14:35,P2,Power,155
INC-00030,S5,2025-04-17 21:10,2025-04-17 21:20,P3,Power,10
INC-00031,S6,2025-04-19 15:12,2025-04-19 17:30,P2,Power,138
INC-00032,S4,2025-04-22 10:02,2025-04-22 10:58,P3,Link / ISP,56
INC-00033,S5,2025-04-24 10:50,2025-04-24 14:42,P1,Weather,232
INC-00034,S5,2025-04-29 18:55,2025-04-29 22:01,P1,Hardware,186
INC-00035,S4,2025-05-03 09:44,2025-05-03 11:25,P2,Link / ISP,101
INC-00036,S6,2025-05-05 11:56,2025-05-05 14:36,P2,Weather,160
INC-00037,S3,2025-05-09 03:44,2025-05-09 04:39,P3,Link / ISP,55
INC-00038,S3,2025-05-10 06:32,2025-05-10 10:22,P1,Power,230
INC-00039,S3,2025-05-17 10:07,2025-05-17 11:18,P2,Link / ISP,71
INC-00040,S4,2025-05-25 21:03,2025-05-25 21:49,P3,Hardware,46
INC-00041,S5,2025-05-28 00:53,2025-05-28 02:09,P2,Link / ISP,76
INC-00042,S6,2025-06-01 21:12,2025-06-01 23:29,P2,Power,137
INC-00043,S6,2025-06-06 08:24,2025-06-06 09:31,P2,Hardware,67
INC-00044,S3,2025-06-09 02:43,2025-06-09 04:43,P2,Power,120
INC-00045,S6,2025-06-10 20:26,2025-06-10 22:48,P2,Link / ISP,142
INC-00046,S6,2025-06-11 02:50,2025-06-11 04:35,P2,Link / ISP,105
INC-00047,S4,2025-06-13 05:35,2025-06-13 06:04,P3,Link / ISP,29
INC-00048,S5,2025-06-29 10:12,2025-06-29 10:53,P3,Power,41
INC-00049,S4,2025-07-01 11:49,2025-07-01 15:02,P1,Weather,193
INC-00050,S6,2025-07-04 13:47,2025-07-04 18:18,P1,Hardware,271
INC-00051,S3,2025-07-05 21:17,2025-07-05 22:45,P2,Power,88
INC-00052,S6,2025-07-06 15:33,2025-07-06 15:56,P3,Hardware,23
INC-00053,S4,2025-07-08 00:52,2025-07-08 02:07,P3,Hardware,75
INC-00054,S6,2025-07-09 20:58,2025-07-10 00:49,P1,Power,231
INC-00055,S4,2025-07-23 04:01,2025-07-23 05:32,P2,Weather,91
INC-00056,S6,2025-07-23 00:53,2025-07-23 01:50,P3,Link / ISP,57
INC-00057,S6,2025-07-29 17:08,2025-07-29 18:44,P2,Hardware,96
INC-00058,S5,2025-08-04 05:20,2025-08-04 08:02,P2,Power,162
INC-00059,S6,2025-08-10 14:52,2025-08-10 17:37,P2,Power,165
INC-00060,S4,2025-08-15 00:05,2025-08-15 01:59,P2,Link / ISP,114
INC-00061,S3,2025-08-18 11:47,2025-08-18 13:35,P2,Power,108
INC-00062,S5,2025-08-18 03:25,2025-08-18 04:31,P2,Link / ISP,66
INC-00063,S6,2025-08-21 08:44,2025-08-21 11:02,P2,Power,138
INC-00064,S3,2025-08-23 11:49,2025-08-23 12:22,P3,Configuration,33
INC-00065,S6,2025-08-24 00:00,2025-08-24 02:13,P2,Weather,133
INC-00066,S6,2025-08-25 11:46,2025-08-25 12:18,P3,Link / ISP,32
INC-00067,S4,2025-09-09 10:28,2025-09-09 12:23,P2,Power,115
INC-00068,S5,2025-09-09 05:11,2025-09-09 05:26,P3,Hardware,15
INC-00069,S4,2025-09-13 14:59,2025-09-13 17:00,P2,Weather,121
INC-00070,S3,2025-09-21 03:55,2025-09-21 04:41,P3,Power,46
INC-00071,S6,2025-09-21 02:39,2025-09-21 04:43,P2,Hardware,124
INC-00072,S4,2025-09-26 15:48,2025-09-26 16:29,P3,Power,41
INC-00073,S3,2025-09-30 07:18,2025-09-30 08:12,P3,Link / ISP,54
INC-00074,S5,2025-10-06 03:34,2025-10-06 05:52,P2,Power,138
INC-00075,S4,2025-10-09 13:29,2025-10-09 13:52,P3,Power,23
INC-00076,S5,2025-10-09 16:52,2025-10-09 18:08,P3,Link / ISP,76
INC-00077,S6,2025-10-09 16:43,2025-10-09 19:35,P2,Link / ISP,172
INC-00078,S1,2025-10-10 19:53,2025-10-10 21:56,P2,Configuration,123
INC-00079,S1,2025-10-13 19:56,2025-10-13 20:52,P3,Link / ISP,56
INC-00080,S3,2025-10-19 07:07,2025-10-19 10:11,P1,Configuration,184
INC-00081,S1,2025-10-20 16:35,2025-10-20 18:19,P2,Link / ISP,104
INC-00082,S3,2025-10-20 03:51,2025-10-20 05:59,P2,Hardware,128
INC-00083,S6,2025-10-20 18:23,2025-10-20 19:43,P2,Power,80
INC-00084,S6,2025-10-26 03:25,2025-10-26 06:46,P1,Link / ISP,201
INC-00085,S2,2025-10-31 14:43,2025-10-31 16:24,P2,Power,101
INC-00086,S6,2025-11-08 02:48,2025-11-08 03:53,P2,Link / ISP,65
INC-00087,S6,2025-11-14 06:37,2025-11-14 08:00,P2,Link / ISP,83
INC-00088,S6,2025-11-19 06:46,2025-11-19 07:20,P3,Link / ISP,34
INC-00089,S4,2025-11-22 01:08,2025-11-22 01:19,P3,Link / ISP,11
INC-00090,S6,2025-11-26 00:42,2025-11-26 00:44,P3,Weather,2
INC-00091,S5,2025-11-30 10:41,2025-11-30 13:15,P2,Hardware,154
INC-00092,S6,2025-11-30 16:56,2025-11-30 18:46,P2,Link / ISP,110
INC-00093,S1,2025-12-03 09:42,2025-12-03 10:21,P3,Power,39
INC-00094,S6,2025-12-06 07:51,2025-12-06 12:24,P1,Power,273
INC-00095,S1,2025-12-08 21:35,2025-12-08 23:46,P2,Power,131
INC-00096,S6,2025-12-12 10:22,2025-12-12 11:35,P2,Power,73
INC-00097,S5,2025-12-13 12:11,2025-12-13 12:32,P3,Hardware,21
INC-00098,S6,2025-12-21 17:24,2025-12-21 19:19,P2,Weather,115
INC-00099,S2,2025-12-23 03:18,2025-12-23 03:33,P3,Link / ISP,15
INC-00100,S6,2025-12-23 19:39,2025-12-23 20:11,P3,Power,32
INC-00101,S3,2025-12-29 14:54,2025-12-29 16:02,P3,Hardware,68
