CustomerID,Segment,Region
C0001,Enterprise,North West
C0002,SME,South South
C0003,SME,South West
C0004,SME,South South
C0005,SME,South West
C0006,SME,South East
C0007,Government,South East
C0008,SME,South South
C0009,Enterprise,North West
C0010,SME,South West
C0011,Residential,South West
C0012,SME,South South
C0013,Government,South West
C0014,Residential,North Central
C0015,Government,North Central
C0016,Enterprise,South East
C0017,SME,North West
C0018,Enterprise,South West
C0019,SME,North West
C0020,Residential,South East
C0021,Residential,South South
C0022,SME,South West
C0023,Government,South East
C0024,Residential,North Central
C0025,Enterprise,North Central
C0026,Enterprise,North West
C0027,SME,South South
C0028,SME,North West
C0029,Residential,North Central
C0030,SME,South West
C0031,SME,North Central
C0032,SME,North Central
C0033,SME,North Central
C0034,Government,North Central
C0035,Residential,South East
C0036,Residential,North Central
C0037,Government,South West
C0038,SME,South East
C0039,Residential,South South
C0040,Residential,South West
C0041,Government,North West
C0042,Residential,South West
C0043,Government,South West
C0044,SME,South West
C0045,Enterprise,South South
C0046,Government,North West
C0047,SME,South East
C0048,SME,South South
C0049,Enterprise,South West
C0050,SME,South East
C0051,SME,South East
C0052,SME,South South
C0053,SME,South East
C0054,SME,South South
C0055,Government,South South
C0056,Enterprise,North Central
C0057,SME,South East
C0058,SME,South West
C0059,Enterprise,South East
C0060,Enterprise,South West
C0061,SME,South West
C0062,Government,South South
C0063,SME,South West
C0064,Residential,South East
C0065,Government,South East
C0066,Residential,North Central
C0067,Government,South East
C0068,Enterprise,South East
C0069,Government,South East
C0070,Enterprise,South East
C0071,Residential,North West
C0072,Residential,South South
C0073,Government,South South
C0074,Enterprise,South South
C0075,Government,South South
C0076,Residential,North West
C0077,Residential,North West
C0078,Residential,South West
C0079,Government,South West
C0080,SME,South West
C0081,Government,South East
C0082,SME,South East
C0083,SME,South South
C0084,Residential,South East
C0085,Government,South West
C0086,Residential,South West
C0087,Enterprise,North Central
C0088,Government,South East
C0089,SME,South South
C0090,SME,North Central
C0091,SME,South East
C0092,SME,South South
C0093,Enterprise,North Central
C0094,Enterprise,North Central
C0095,Enterprise,North West
C0096,Residential,South East
C0097,SME,South West
C0098,Enterprise,South East
C0099,Government,South West
C0100,SME,South East
C0101,Residential,North Central
C0102,Residential,North Central
C0103,Residential,North Central
C0104,SME,North West
C0105,SME,South East
C0106,SME,South East
C0107,SME,North Central
C0108,SME,South West
C0109,SME,North Central
C0110,Enterprise,North West
C0111,Government,South West
C0112,SME,South West
C0113,Residential,North West
C0114,Residential,South West
C0115,SME,South West
C0116,SME,South West
C0117,Enterprise,North Central
C0118,Government,North Central
C0119,Government,South West
C0120,Residential,South West
C0121,Government,South East
C0122,Government,South South
C0123,SME,South West
C0124,Residential,South South
C0125,SME,South South
C0126,SME,South East
C0127,SME,South West
C0128,Residential,South West
C0129,Enterprise,South East
C0130,SME,South West
C0131,Enterprise,South West
C0132,Enterprise,South West
C0133,SME,North West
C0134,Enterprise,South East
C0135,SME,South West
C0136,Residential,South West
C0137,Government,South South
C0138,Enterprise,South East
C0139,Enterprise,North Central
C0140,Residential,South South
C0141,Residential,South East
C0142,SME,South West
C0143,SME,South East
C0144,SME,South East
C0145,SME,North Central
C0146,Government,South West
C0147,Government,North Central
C0148,SME,South West
C0149,SME,South West
C0150,SME,South West
C0151,Residential,South West
C0152,Enterprise,North Central
C0153,Residential,South East
C0154,SME,South West
C0155,Enterprise,South South
C0156,SME,North Central
C0157,SME,South West
C0158,Enterprise,South West
C0159,SME,South West
C0160,Enterprise,North Central
C0161,Enterprise,North West
C0162,SME,North West
C0163,Government,South West
C0164,Government,South East
C0165,Residential,South West
C0166,SME,South East
C0167,SME,North West
C0168,Government,South East
C0169,SME,South West
C0170,Enterprise,South East
C0171,SME,North Central
C0172,Enterprise,South South
C0173,Residential,South South
C0174,Residential,South West
C0175,Residential,North Central
C0176,Residential,North West
C0177,Government,South West
C0178,Residential,North West
C0179,Enterprise,South West
C0180,SME,South West
C0181,SME,South West
C0182,SME,North Central
C0183,Enterprise,South West
C0184,SME,North Central
C0185,SME,North Central
C0186,Residential,North West
C0187,SME,South West
C0188,Government,South West
C0189,Government,South West
C0190,SME,South West
C0191,Residential,South East
C0192,SME,South West
C0193,Residential,South East
C0194,Government,North West
C0195,Government,South East
C0196,Enterprise,South East
C0197,SME,North West
C0198,SME,South South
C0199,Residential,South West
C0200,SME,South West
C0201,Residential,South East
C0202,Residential,South West
C0203,SME,South West
C0204,Government,South South
C0205,SME,South West
C0206,Residential,South South
C0207,SME,North West
C0208,Residential,South West
C0209,Government,South West
C0210,Residential,South South
C0211,Enterprise,South West
C0212,Residential,South East
C0213,Residential,North Central
C0214,SME,South West
C0215,Government,North Central
C0216,SME,North West
C0217,Enterprise,South East
C0218,Residential,South West
C0219,Enterprise,South West
C0220,Government,North Central
C0221,Residential,North Central
C0222,Enterprise,South West
C0223,SME,South East
C0224,SME,South West
C0225,Government,North Central
C0226,Government,South East
C0227,Residential,South South
C0228,Enterprise,South East
C0229,SME,South East
C0230,Government,North West
C0231,Government,South West
C0232,SME,South West
C0233,Residential,North West
C0234,Enterprise,South West
C0235,Residential,North Central
C0236,SME,South South
C0237,Enterprise,South West
C0238,Government,South South
C0239,Government,North Central
C0240,SME,South South
C0241,SME,South East
C0242,SME,South East
C0243,Government,South South
C0244,Residential,South West
C0245,Enterprise,South South
C0246,Residential,South West
C0247,SME,North West
C0248,Government,South East
C0249,Residential,South South
C0250,SME,South West
C0251,Enterprise,South West
C0252,SME,South East
C0253,SME,North Central
C0254,Government,South East
C0255,SME,South South
C0256,Government,South West
C0257,Residential,South West
C0258,Enterprise,South South
C0259,Government,North Central
C0260,Residential,South South
C0261,Government,North Central
C0262,Government,South West
C0263,SME,South West
C0264,Residential,North Central
C0265,Residential,South West
C0266,SME,North West
C0267,Government,South West
C0268,Residential,South South
C0269,SME,South West
C0270,Residential,North West
C0271,Residential,North Central
C0272,SME,North Central
C0273,SME,South South
C0274,SME,North Central
C0275,Enterprise,North West
C0276,SME,North West
C0277,Residential,South East
C0278,Enterprise,South West
C0279,SME,South East
C0280,Residential,South South
C0281,SME,South West
C0282,Residential,South East
C0283,Residential,South West
C0284,SME,South East
C0285,SME,South South
C0286,Enterprise,South West
C0287,SME,South East
C0288,SME,South West
C0289,Government,North Central
C0290,Residential,North Central
C0291,Residential,South South
C0292,Enterprise,South West
C0293,Residential,South South
C0294,Government,South East
C0295,SME,North Central
C0296,Enterprise,South East
C0297,SME,South West
C0298,SME,South South
C0299,SME,North Central
C0300,Residential,South South
C0301,Government,South East
C0302,SME,South West
C0303,SME,South South
C0304,Government,South South
C0305,SME,South South
C0306,SME,South East
C0307,Residential,South South
C0308,SME,South South
C0309,Government,South East
C0310,Enterprise,South East
C0311,SME,North Central
C0312,Enterprise,South East
C0313,Residential,South West
C0314,SME,South West
C0315,SME,South West
C0316,SME,South West
C0317,SME,South West
C0318,Residential,North West
C0319,SME,South West
C0320,Government,North West
C0321,SME,South West
C0322,SME,North Central
C0323,Government,South East
C0324,Enterprise,South South
C0325,SME,South West
C0326,Government,South South
C0327,SME,South West
C0328,Government,North Central
C0329,SME,South South
C0330,SME,South West
C0331,Residential,North West
C0332,Enterprise,South East
C0333,SME,South West
C0334,SME,South East
C0335,Residential,South East
C0336,Enterprise,North West
C0337,Government,South East
C0338,SME,South South
C0339,SME,North Central
C0340,SME,North Central
C0341,Residential,South West
C0342,Enterprise,South West
C0343,SME,North Central
C0344,Residential,South West
C0345,SME,South South
C0346,SME,South West
C0347,SME,South West
C0348,Residential,South South
C0349,Enterprise,South South
C0350,SME,South West
C0351,Residential,North West
C0352,SME,South South
C0353,Enterprise,South West
C0354,SME,North Central
C0355,SME,South West
C0356,Residential,South East
C0357,Residential,North Central
C0358,Government,South West
C0359,SME,South South
C0360,SME,North Central
C0361,SME,North Central
C0362,Residential,North West
C0363,Enterprise,North West
C0364,Government,South South
C0365,SME,South South
C0366,Government,South South
C0367,SME,North Central
C0368,SME,South East
C0369,SME,South West
C0370,Residential,North West
C0371,Residential,North West
C0372,Government,South West
C0373,SME,South West
C0374,Residential,South West
C0375,Enterprise,North Central
C0376,Enterprise,South East
C0377,Residential,South West
C0378,Residential,South West
C0379,SME,North Central
C0380,SME,South South
C0381,SME,South West
C0382,SME,South West
C0383,SME,North Central
C0384,SME,South West
C0385,Government,South South
C0386,SME,South West
C0387,SME,North West
C0388,Residential,South East
C0389,Enterprise,South East
C0390,Residential,North West
C0391,Residential,South East
C0392,Enterprise,South South
C0393,SME,South South
C0394,Enterprise,North Central
C0395,Residential,South West
C0396,Enterprise,South West
C0397,SME,South South
C0398,Residential,South West
C0399,SME,South East
C0400,Enterprise,North Central
C0401,SME,South South
C0402,SME,South West
C0403,Residential,South East
C0404,SME,South West
C0405,Enterprise,North West
C0406,SME,South East
C0407,Government,South West
C0408,Enterprise,South South
C0409,SME,South South
C0410,Government,South South
C0411,Residential,North Central
C0412,SME,South West
C0413,SME,South East
C0414,Residential,South West
C0415,Enterprise,South West
C0416,Enterprise,North Central
C0417,SME,North West
C0418,SME,North Central
C0419,SME,South West
C0420,SME,North Central
