OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPriceNGN,Discount,RevenueNGN,COGSNGN,ProfitNGN
SO-00001,2025-01-01,C0269,P001,1,65000,0.03,63050,42000,21050
SO-00002,2025-01-01,C0187,P005,5,180000,0.05,855000,600000,255000
SO-00003,2025-01-01,C0181,P007,3,98000,0,294000,210000,84000
SO-00004,2025-01-01,C0301,P006,13,130000,0.12,1487200,1105000,382200
SO-00005,2025-01-01,C0230,P011,10,27000,0.08,248400,160000,88400
SO-00006,2025-01-01,C0016,P001,14,65000,0.1,819000,588000,231000
SO-00007,2025-01-01,C0077,P005,2,180000,0,360000,240000,120000
SO-00008,2025-01-01,C0080,P010,1,72000,0.03,69840,48000,21840
SO-00009,2025-01-01,C0310,P001,12,65000,0.05,741000,504000,237000
SO-00010,2025-01-01,C0217,P002,14,59000,0.05,784700,532000,252700
SO-00011,2025-01-01,C0206,P011,2,27000,0.03,52380,32000,20380
SO-00012,2025-01-01,C0167,P005,4,180000,0.03,698400,480000,218400
SO-00013,2025-01-01,C0403,P011,2,27000,0,54000,32000,22000
SO-00014,2025-01-01,C0277,P010,1,72000,0,72000,48000,24000
SO-00015,2025-01-01,C0079,P007,3,98000,0.1,264600,210000,54600
SO-00016,2025-01-02,C0374,P010,1,72000,0.03,69840,48000,21840
SO-00017,2025-01-02,C0028,P001,1,65000,0.03,63050,42000,21050
SO-00018,2025-01-02,C0404,P007,5,98000,0.03,475300,350000,125300
SO-00019,2025-01-02,C0142,P003,5,140000,0,700000,475000,225000
SO-00020,2025-01-02,C0175,P006,1,130000,0,130000,85000,45000
SO-00021,2025-01-02,C0286,P001,13,65000,0.05,802750,546000,256750
SO-00022,2025-01-02,C0313,P001,2,65000,0.03,126100,84000,42100
SO-00023,2025-01-02,C0385,P002,5,59000,0.08,271400,190000,81400
SO-00024,2025-01-02,C0330,P012,1,320000,0,320000,230000,90000
SO-00025,2025-01-02,C0205,P001,2,65000,0.03,126100,84000,42100
SO-00026,2025-01-03,C0275,P001,14,65000,0.1,819000,588000,231000
SO-00027,2025-01-03,C0327,P007,4,98000,0.05,372400,280000,92400
SO-00028,2025-01-03,C0160,P007,11,98000,0.12,948640,770000,178640
SO-00029,2025-01-03,C0177,P007,12,98000,0.05,1117200,840000,277200
SO-00030,2025-01-03,C0308,P004,3,47000,0,141000,84000,57000
SO-00031,2025-01-03,C0123,P009,5,690000,0.05,3277500,2600000,677500
SO-00032,2025-01-03,C0272,P008,1,420000,0.03,407400,310000,97400
SO-00033,2025-01-03,C0412,P010,3,72000,0.03,209520,144000,65520
SO-00034,2025-01-03,C0151,P004,1,47000,0,47000,28000,19000
SO-00035,2025-01-03,C0220,P001,9,65000,0.08,538200,378000,160200
SO-00036,2025-01-03,C0203,P002,4,59000,0.05,224200,152000,72200
SO-00037,2025-01-03,C0200,P010,3,72000,0,216000,144000,72000
